id,job_role,skills_required,experience_years,level,job_description
206,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
207,Python Developer,"Python, Django, REST APIs, PostgreSQL",2,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
208,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
209,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
210,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
211,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",2,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
212,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
213,Java Developer,"Java, Spring Boot, Hibernate, MySQL",6,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
214,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
215,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
216,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
217,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
218,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
219,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
220,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",6,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
221,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
222,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
223,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
224,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
225,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
226,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
227,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
228,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
229,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
230,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
231,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
232,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
233,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
234,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
235,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
236,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
237,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
238,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
239,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
240,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
241,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
242,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
243,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
244,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
245,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
246,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
247,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
248,Python Developer,"Python, Django, REST APIs, PostgreSQL",3,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
249,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
250,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
251,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
252,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
253,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
254,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
255,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
256,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
257,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
258,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
259,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
260,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
261,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
262,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
263,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
264,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
265,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
266,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
267,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
268,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
269,Python Developer,"Python, Django, REST APIs, PostgreSQL",3,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
270,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
271,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
272,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
273,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
274,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
275,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
276,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
277,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
278,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
279,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
280,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
281,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
282,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
283,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
284,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
285,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
286,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
287,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
288,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
289,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
290,Python Developer,"Python, Django, REST APIs, PostgreSQL",3,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
291,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
292,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
293,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
294,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
295,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
296,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
297,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
298,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
299,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
300,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
301,Python Developer,"Python, Django, REST APIs, PostgreSQL",3,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
302,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
303,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
304,Java Developer,"Java, Spring Boot, Hibernate, MySQL",6,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
305,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
306,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
307,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
308,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
309,Java Developer,"Java, Spring Boot, Hibernate, MySQL",6,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
310,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
311,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
312,Data Analyst,"SQL, Power BI, Data Visualization",5,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
313,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
314,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
315,Web Developer,"React, Node.js, MongoDB, REST APIs",6,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
316,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
317,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
318,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
319,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
320,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
321,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
322,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
323,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
324,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
325,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
326,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
327,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
328,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
329,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
330,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
331,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
332,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
333,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
334,Software Tester,"Selenium, Automation Testing, JIRA",4,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
335,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
336,Software Tester,"Selenium, Automation Testing, JIRA",4,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
337,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
338,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
339,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
340,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
341,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
342,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
343,Python Developer,"Python, Django, REST APIs, PostgreSQL",3,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
344,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
345,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
346,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
347,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
348,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
349,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
350,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
351,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
352,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
353,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
354,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
355,Python Developer,"Python, Django, REST APIs, PostgreSQL",2,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
356,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
357,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
358,Web Developer,"React, Node.js, MongoDB, REST APIs",2,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
359,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
360,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
361,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
362,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
363,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
364,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
365,Web Developer,"React, Node.js, MongoDB, REST APIs",2,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
366,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
367,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
368,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
369,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
370,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
371,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
372,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
373,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
374,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
375,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
376,Data Analyst,"SQL, Power BI, Data Visualization",5,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
377,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",6,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
378,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
379,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
380,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
381,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
382,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
383,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
384,Python Developer,"Python, Django, REST APIs, PostgreSQL",2,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
385,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
386,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
387,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",2,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
388,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
389,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
390,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
391,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
392,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
393,Data Analyst,"SQL, Power BI, Data Visualization",4,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
394,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
395,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
396,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
397,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
398,Software Tester,"Selenium, Automation Testing, JIRA",6,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
399,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
400,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
401,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
402,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
403,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
404,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
405,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
406,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
407,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
408,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",5,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
409,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
410,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
411,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
412,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
413,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
414,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",4,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
